Unnamed: 0,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
6,CAS_7723-14-0,2009,2009-01--2009-12,ES014MSPFES-014-NR-038-000-02-02,Spain,50941692.0,4.0,87.15892367892796,42.66805990943922,6.966213862765587,2.612330198537095,12.190874259839775,13.061650992685475,7.836990595611285,0.0,0.0,14.66388018112156
10,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0220,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
17,CAS_14265-44-2,2009,2009-01--2009-12,FRGR1496,France,71176346.0,4.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
24,CAS_7723-14-0,2009,2009-01--2009-12,FRDR174,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
34,CAS_7723-14-0,2009,2009-01--2009-12,FRGR1022,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
43,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0175,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
50,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0178A,France,71176346.0,5.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
61,CAS_7723-14-0,2009,2009-01--2009-12,FRFR238,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
67,CAS_7723-14-0,2009,2009-01--2009-12,ES10603,Spain,50941692.0,0.0,87.15892367892796,42.66805990943922,6.966213862765587,2.612330198537095,12.190874259839775,13.061650992685475,7.836990595611285,0.0,0.0,14.66388018112156
107,CAS_7723-14-0,2011,2011-01--2011-12,ATOK900470056,Austria,19909000.0,4.0,0.0,26.664402173913043,5.94429347826087,3.7364130434782616,15.709918478260873,16.728940217391305,9.425951086956522,0.0,0.0,21.790081521739133
124,CAS_14265-44-2,2008,2008-01--2008-12,UKSC004734,United Kingdom,25867961.0,0.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
126,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006500,United Kingdom,25867961.0,1.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
127,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006838,United Kingdom,25867961.0,5.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
128,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010062,United Kingdom,25867961.0,4.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
129,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020054,United Kingdom,25867961.0,3.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
130,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020572,United Kingdom,25867961.0,0.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
131,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020633,United Kingdom,25867961.0,1.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
132,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023043,United Kingdom,25867961.0,0.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
133,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023282,United Kingdom,25867961.0,4.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
134,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023294,United Kingdom,25867961.0,0.0,0.0,13.957375679063937,1.838696197241956,2.925198495612202,23.568742164646885,15.79607187630589,16.882574174676137,0.0,2.2565816966151275,22.77475971583786
143,CAS_7723-14-0,2009,2009-01--2009-12,BG4ST700R021,Bulgaria,4836884.0,2.0,10.928049723307288,20.88515310060897,5.000428853246419,1.6982588558195386,15.378677416588044,12.162278068444978,10.421133887983531,1.6811047259627756,16.45081053263573,16.322154558710007
144,CAS_14265-44-2,2009,2009-01--2009-12,BG4ST400R1072,Bulgaria,4836884.0,0.0,10.928049723307288,20.88515310060897,5.000428853246419,1.6982588558195386,15.378677416588044,12.162278068444978,10.421133887983531,1.6811047259627756,16.45081053263573,16.322154558710007
145,CAS_14265-44-2,2009,2009-01--2009-12,DERW_DESN_674-10,Germany,22635423.0,0.0,0.0,20.27986209693774,6.759954032312581,0.9463935645237612,11.965118637193266,16.22388967755019,8.787940242006353,2.703981612925032,0.0,32.33286013655107
149,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DEST_EL03OW01-00,Germany,22635423.0,7.0,0.0,20.27986209693774,6.759954032312581,0.9463935645237612,11.965118637193266,16.22388967755019,8.787940242006353,2.703981612925032,0.0,32.33286013655107
150,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DEST_MEL07OW01-00,Germany,22635423.0,4.0,0.0,20.27986209693774,6.759954032312581,0.9463935645237612,11.965118637193266,16.22388967755019,8.787940242006353,2.703981612925032,0.0,32.33286013655107
151,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DEST_SE04OW01-00,Germany,22635423.0,1.0,0.0,20.27986209693774,6.759954032312581,0.9463935645237612,11.965118637193266,16.22388967755019,8.787940242006353,2.703981612925032,0.0,32.33286013655107
168,CAS_14265-44-2,2009,2009-01--2009-12,BG3AR400R074,Bulgaria,4836884.0,1.0,10.928049723307288,20.88515310060897,5.000428853246419,1.6982588558195386,15.378677416588044,12.162278068444978,10.421133887983531,1.6811047259627756,16.45081053263573,16.322154558710007
170,CAS_14265-44-2,2009,2009-01--2009-12,BG4ME100R113,Bulgaria,4836884.0,1.0,10.928049723307288,20.88515310060897,5.000428853246419,1.6982588558195386,15.378677416588044,12.162278068444978,10.421133887983531,1.6811047259627756,16.45081053263573,16.322154558710007
211,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0418,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
214,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0381,France,71176346.0,1.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
224,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0142B,France,71176346.0,3.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
228,CAS_14265-44-2,2009,2009-01--2009-12,ES12043,Spain,50941692.0,0.0,87.15892367892796,42.66805990943922,6.966213862765587,2.612330198537095,12.190874259839775,13.061650992685475,7.836990595611285,0.0,0.0,14.66388018112156
231,CAS_14265-44-2,2009,2009-01--2009-12,ES030MSPF0522011,Spain,50941692.0,0.0,87.15892367892796,42.66805990943922,6.966213862765587,2.612330198537095,12.190874259839775,13.061650992685475,7.836990595611285,0.0,0.0,14.66388018112156
238,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0248,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
239,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0254,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
245,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0143A,France,71176346.0,5.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
249,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R477,Belgium,6496961.0,5.0,0.0,10.759296776004796,2.3521734841759425,1.4492423725084032,30.45685279187817,13.946112464243168,10.577193022391176,0.0,4.431191337931453,26.02793775086689
257,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R722,France,71176346.0,4.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
260,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R550,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
277,CAS_7723-14-0,2009,2009-01--2009-12,ES12113,Spain,50941692.0,6.0,87.15892367892796,42.66805990943922,6.966213862765587,2.612330198537095,12.190874259839775,13.061650992685475,7.836990595611285,0.0,0.0,14.66388018112156
281,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R600,France,71176346.0,6.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
287,CAS_14265-44-2,2009,2009-01--2009-12,FRHR2A,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
290,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0142B,France,71176346.0,3.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
298,CAS_14265-44-2,2009,2009-01--2009-12,ES030MSPF0404021,Spain,50941692.0,5.0,87.15892367892796,42.66805990943922,6.966213862765587,2.612330198537095,12.190874259839775,13.061650992685475,7.836990595611285,0.0,0.0,14.66388018112156
308,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R541,France,71176346.0,3.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
318,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0004B,France,71176346.0,2.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
325,CAS_7723-14-0,2009,2009-01--2009-12,FRDR173B,France,71176346.0,1.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
335,CAS_14265-44-2,2009,2009-01--2009-12,FRHR313,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
337,CAS_7723-14-0,2009,2009-01--2009-12,FRHR315,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
342,CAS_7723-14-0,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
345,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0002,France,71176346.0,1.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
346,CAS_14265-44-2,2009,2009-01--2009-12,FRHR326,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
351,CAS_14265-44-2,2009,2009-01--2009-12,FRHR314,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
354,CAS_14265-44-2,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
366,CAS_14265-44-2,2009,2009-01--2009-12,FRHR327,France,71176346.0,1.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
389,CAS_14265-44-2,2012,2012-01--2012-12,LT410105104,Lithuania,1538269.0,0.0,11.09062194824219,29.071022522846658,6.22436497085702,1.9788443548967405,31.697488666618696,7.231776642440815,7.303734618982514,0.0,0.0,16.492768223357558
404,CAS_7723-14-0,2009,2009-01--2009-12,FRHR329,France,71176346.0,0.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
412,CAS_14265-44-2,2009,2009-01--2009-12,ES100MSPF1000460,Spain,50941692.0,1.0,87.15892367892796,42.66805990943922,6.966213862765587,2.612330198537095,12.190874259839775,13.061650992685475,7.836990595611285,0.0,0.0,14.66388018112156
414,CAS_14265-44-2,2009,2009-01--2009-12,FRFRR330B_4,France,71176346.0,1.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
420,CAS_7723-14-0,2009,2009-01--2009-12,FRFR252B,France,71176346.0,6.0,0.0,26.173728120399147,8.179290037624734,2.4537870112874205,21.26615409782431,16.358580075249467,7.36136103386226,0.0,0.0,18.207099623752654
